Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782221754,50,,Aggregated,1.800000,0.000000,6900,7100,7800,8100,12000,12000,16000,16000,16000,16000,16000,40,0,6800.0,6738.628489989787,1386.8428000132553,15635.371599986684,27690.65
1782221759,50,,Aggregated,0.000000,0.000000,7800,17000,24000,24000,26000,28000,28000,31000,31000,31000,31000,61,0,7800.0,12953.217355731958,1386.8428000132553,31107.056199980434,24416.786885245903
1782221760,50,,Aggregated,0.000000,0.000000,11000,23000,24000,26000,27000,28000,28000,31000,31000,31000,31000,69,1,11000.0,14197.669675355217,1386.8428000132553,31107.056199980434,24594.246376811596
1782221761,50,,Aggregated,0.000000,0.000000,11000,23000,24000,26000,27000,28000,28000,31000,31000,31000,31000,69,1,11000.0,14197.669675355217,1386.8428000132553,31107.056199980434,24594.246376811596
1782221762,50,,Aggregated,0.000000,0.000000,11000,23000,24000,26000,27000,28000,28000,31000,31000,31000,31000,69,1,11000.0,14197.669675355217,1386.8428000132553,31107.056199980434,24594.246376811596
1782221763,50,,Aggregated,2.700000,0.000000,11000,24000,24000,26000,27000,28000,28000,31000,31000,31000,31000,70,1,11000.0,14369.507259992783,1386.8428000132553,31107.056199980434,24244.6
1782221764,50,,Aggregated,2.700000,0.000000,11000,24000,24000,26000,27000,28000,28000,31000,31000,31000,31000,70,1,11000.0,14369.507259992783,1386.8428000132553,31107.056199980434,24244.6
1782221765,50,,Aggregated,2.900000,0.100000,12000,24000,26000,26000,27000,28000,28000,31000,31000,31000,31000,72,1,11000.0,14729.690495826719,1386.8428000132553,31107.056199980434,23573.625
1782221766,50,,Aggregated,2.900000,0.100000,12000,24000,26000,26000,27000,28000,28000,31000,31000,31000,31000,72,1,11000.0,14729.690495826719,1386.8428000132553,31107.056199980434,23573.625
1782221767,50,,Aggregated,3.000000,0.100000,12000,24000,26000,26000,28000,28000,30000,31000,31000,31000,31000,74,1,12000.0,15143.790099994008,1386.8428000132553,31107.056199980434,22938.91891891892
1782221768,50,,Aggregated,3.000000,0.100000,12000,24000,26000,26000,28000,28000,30000,31000,31000,31000,31000,74,1,12000.0,15143.790099994008,1386.8428000132553,31107.056199980434,22938.91891891892
